Member_number,Recency,Frequency,Monetary,Category_Diversity,cluster_kmeans,cluster_gmm,cluster_agg,cluster_hier,R_quartile,F_quartile,M_quartile,RFM_Score,cluster_rfm,cluster_spark
1105,222,6,34.8,4,0,2,2,3,2,1,1,4,0,2
1107,90,20,129.38,8,3,3,3,1,3,4,4,11,3,1
1108,153,12,94.06,8,2,0,1,2,2,3,3,8,2,3
1109,268,12,93.9,6,2,3,1,2,2,3,3,8,2,3
1110,40,18,155.9,7,3,1,3,1,4,4,4,12,3,1
1111,40,11,53.3,6,2,0,1,2,4,3,2,9,2,3
1112,265,4,26.36,4,0,2,2,3,2,1,1,4,0,2
1113,147,11,74.65,7,2,0,1,2,2,3,2,7,1,3
1114,173,16,121.12,7,3,3,1,2,2,4,4,10,2,1
1115,342,8,68.5,2,1,3,2,3,1,2,2,5,0,0
1116,31,24,157.4,8,3,1,3,1,4,4,4,12,3,1
1117,220,3,34.6,2,0,2,2,3,2,1,1,4,0,2
1118,5,18,173.4,7,3,1,3,1,4,4,4,12,3,1
1119,329,2,22.400000000000002,2,1,2,2,3,1,1,1,3,0,0
1120,95,17,144.39,6,3,1,1,2,3,4,4,11,3,1
1121,655,2,30.62,2,1,2,2,3,1,1,1,3,0,0
1122,9,6,33.0,4,0,0,0,4,4,1,1,6,1,2
1123,48,11,73.60000000000001,7,2,0,1,2,4,3,2,9,2,3
1124,494,4,15.9,3,1,2,2,3,1,1,1,3,0,0
1125,41,11,67.56,5,2,0,0,4,4,3,2,9,2,3
1126,227,9,124.20000000000002,6,2,3,1,2,2,2,4,8,2,3
1127,76,12,85.16,7,2,0,1,2,3,3,3,9,2,3
1128,178,10,67.25,4,0,0,0,4,2,3,2,7,1,2
1129,374,13,179.64,7,3,3,1,2,1,3,4,8,2,1
1130,103,11,94.95,6,2,0,1,2,3,3,3,9,2,3
1132,99,10,25.44,7,2,0,1,2,3,3,1,7,1,3
1133,149,13,148.94,6,2,3,3,1,2,3,4,9,2,3
1134,391,7,48.4,5,1,2,0,4,1,2,2,5,0,0
1135,173,10,43.370000000000005,5,2,0,0,4,2,3,1,6,1,3
1136,57,19,209.06,6,3,1,3,1,4,4,4,12,3,1
1137,95,6,17.6,5,0,0,0,4,3,1,1,5,0,2
1138,119,6,53.3,4,0,0,0,4,3,1,2,6,1,2
1139,345,9,72.8,4,1,3,0,4,1,2,2,5,0,0
1140,187,8,66.7,4,0,0,0,4,2,2,2,6,1,2
1141,380,9,80.8,5,1,3,0,4,1,2,3,6,1,0
1142,200,8,81.0,6,2,3,1,2,2,2,3,7,1,3
1143,249,12,54.5,5,2,3,0,4,2,3,2,7,1,3
1144,76,16,133.25,4,2,1,1,2,3,4,4,11,3,3
1145,84,6,34.6,3,0,0,2,3,3,1,1,5,0,2
1146,109,20,157.52,8,3,3,3,1,3,4,4,11,3,1
1147,409,6,49.2,5,1,2,0,4,1,1,2,4,0,0
1148,94,19,118.76,7,3,3,3,1,3,4,4,11,3,1
1149,18,7,34.6,5,0,0,0,4,4,2,1,7,1,2
1150,26,10,54.4,4,0,0,0,4,4,3,2,9,2,2
1151,104,5,68.80000000000001,3,0,0,2,3,3,1,2,6,1,2
1152,164,8,83.05,5,2,0,0,4,2,2,3,7,1,3
1153,22,17,101.5,8,3,1,1,2,4,4,3,11,3,1
1154,227,9,35.2,6,2,2,0,4,2,2,1,5,0,3
1155,3,8,89.3,5,2,1,0,4,4,2,3,9,2,3
1156,108,2,24.0,1,0,0,2,3,3,1,1,5,0,2
1157,452,7,136.9,4,1,3,0,4,1,2,4,7,1,0
1158,74,11,49.1,4,0,0,0,4,3,3,2,8,2,2
1159,199,6,25.450000000000003,4,0,2,2,3,2,1,1,4,0,2
1160,40,15,118.50999999999999,7,3,1,1,2,4,4,4,12,3,3
1161,291,7,78.3,4,0,3,0,4,1,2,3,6,1,2
1162,146,12,113.5,6,2,0,1,2,2,3,3,8,2,3
1163,16,9,54.1,6,2,0,0,4,4,2,2,8,2,3
1164,275,5,31.1,3,1,2,2,3,2,1,1,4,0,0
1165,1,9,136.2,6,2,1,1,2,4,2,4,10,2,3
1166,575,4,29.1,3,1,2,2,3,1,1,1,3,0,0
1167,317,4,23.5,3,1,2,2,3,1,1,1,3,0,0
1168,299,9,86.6,5,2,3,0,4,1,2,3,6,1,3
1169,380,21,284.8,8,3,3,3,1,1,4,4,9,2,1
1170,29,20,184.44,6,3,1,3,1,4,4,4,12,3,1
1171,239,10,75.30000000000001,5,2,3,0,4,2,3,3,8,2,3
1173,69,9,36.5,5,0,0,0,4,3,2,1,6,1,2
1174,322,11,59.900000000000006,6,2,3,0,4,1,3,2,6,1,3
1175,183,19,222.36,6,3,3,1,2,2,4,4,10,2,1
1176,135,14,96.65,5,2,3,1,2,3,4,3,10,2,3
1177,77,4,10.45,2,0,0,2,3,3,1,1,5,0,2
1178,45,11,114.24,6,2,1,1,2,4,3,3,10,2,3
1179,475,5,112.60000000000001,5,1,3,0,4,1,1,3,5,0,0
1180,493,4,9.9,4,1,2,2,3,1,1,1,3,0,0
1181,44,8,38.2,6,2,0,0,4,4,2,1,7,1,3
1182,31,16,199.82,7,3,1,3,1,4,4,4,12,3,1
1183,184,16,97.60000000000001,4,2,3,1,2,2,4,3,9,2,3
1184,197,5,43.5,4,0,2,2,3,2,1,1,4,0,2
1185,128,10,108.9,6,2,0,0,4,3,3,3,9,2,3
1186,248,9,51.83,6,2,2,0,4,2,2,2,6,1,3
1187,18,7,14.770000000000001,3,0,0,0,4,4,2,1,7,1,2
1188,355,8,69.7,5,1,2,0,4,1,2,2,5,0,0
1189,544,4,30.55,4,1,2,2,3,1,1,1,3,0,0
1190,64,17,161.10000000000002,4,3,1,1,2,3,4,4,11,3,1
1191,144,6,100.60000000000001,2,0,3,0,4,2,1,3,6,1,2
1192,355,5,28.400000000000002,4,1,2,2,3,1,1,1,3,0,0
1193,48,4,22.56,3,0,0,0,4,4,1,1,6,1,2
1194,231,9,73.2,5,2,3,0,4,2,2,2,6,1,3
1195,56,6,64.06,4,0,0,0,4,4,1,2,7,1,2
1196,33,8,34.42,5,0,0,0,4,4,2,1,7,1,2
1197,38,18,153.6,4,3,1,1,2,4,4,4,12,3,1
1198,333,7,167.9,5,2,3,0,4,1,2,4,7,1,3
1199,20,13,57.5,7,2,1,1,2,4,3,2,9,2,3
1200,95,8,26.05,4,0,0,0,4,3,2,1,6,1,2
1201,401,4,34.8,3,1,2,2,3,1,1,1,3,0,0
1202,161,10,61.599999999999994,7,2,2,1,2,2,3,2,7,1,3
1204,160,16,142.10000000000002,5,2,3,1,2,2,4,4,10,2,3
1205,291,10,69.1,6,2,2,0,4,1,3,2,6,1,3
1206,229,14,96.6,6,2,3,1,2,2,4,3,9,2,3
1207,46,8,62.06,4,0,0,0,4,4,2,2,8,2,2
1208,14,11,171.46,6,3,1,3,1,4,3,4,11,3,1
1209,414,9,121.28999999999999,5,2,3,0,4,1,2,4,7,1,3
1211,220,16,107.75,6,2,3,1,2,2,4,3,9,2,3
1212,152,8,68.39999999999999,3,0,0,0,4,2,2,2,6,1,2
1213,107,13,123.7,5,2,3,1,2,3,3,4,10,2,3
1214,354,6,58.9,4,1,2,0,4,1,1,2,4,0,0
1215,346,9,76.71000000000001,5,2,3,0,4,1,2,3,6,1,3
1216,127,14,183.20000000000002,6,3,3,3,1,3,4,4,11,3,1
1217,315,8,68.60000000000001,5,2,2,0,4,1,2,2,5,0,3
1218,1,21,198.7,6,3,1,3,1,4,4,4,12,3,1
1219,454,4,32.6,3,1,2,2,3,1,1,1,3,0,0
1220,1,17,186.05,8,3,1,3,1,4,4,4,12,3,1
1221,410,2,1.7,2,1,2,2,3,1,1,1,3,0,0
1222,97,4,16.8,3,0,0,0,4,3,1,1,5,0,2
1223,30,10,61.6,5,2,0,0,4,4,3,2,9,2,3
1224,466,4,83.30000000000001,3,1,3,2,3,1,1,3,5,0,0
1225,224,21,130.6,7,3,3,3,1,2,4,4,10,2,1
1226,48,10,84.55,5,2,0,0,4,4,3,3,10,2,3
1227,601,2,7.7,1,1,2,2,3,1,1,1,3,0,0
1228,310,3,16.6,2,1,2,2,3,1,1,1,3,0,0
1229,285,8,146.4,6,2,3,1,2,1,2,4,7,1,3
1230,41,14,67.65,4,2,1,0,4,4,4,2,10,2,3
1231,64,16,156.0,6,3,1,1,2,3,4,4,11,3,1
1232,182,7,33.0,5,0,2,0,4,2,2,1,5,0,2
1233,139,19,98.36,7,3,3,3,1,3,4,3,10,2,1
1234,40,10,74.44,7,2,0,1,2,4,3,2,9,2,3
1235,215,19,156.98,7,3,3,1,2,2,4,4,10,2,1
1236,233,5,40.6,4,0,2,2,3,2,1,1,4,0,2
1237,265,20,160.79999999999998,5,3,3,1,2,2,4,4,10,2,1
1238,304,2,27.0,2,1,2,2,3,1,1,1,3,0,0
1239,121,16,139.0,6,3,3,1,2,3,4,4,11,3,1
1240,260,13,61.14,7,2,3,1,2,2,3,2,7,1,3
1241,222,11,156.22000000000003,5,2,3,1,2,2,3,4,9,2,3
1242,16,17,125.11,8,3,1,3,1,4,4,4,12,3,1
1243,721,2,6.0,2,1,2,2,3,1,1,1,3,0,0
1244,400,8,39.02,5,1,2,0,4,1,2,1,4,0,0
1245,26,20,168.51,6,3,1,3,1,4,4,4,12,3,1
1246,366,8,57.400000000000006,3,1,3,2,3,1,2,2,5,0,0
1247,452,4,17.400000000000002,4,1,2,2,3,1,1,1,3,0,0
1248,15,16,166.65,6,3,1,3,1,4,4,4,12,3,1
1249,445,5,62.8,3,1,2,2,3,1,1,2,4,0,0
1250,448,2,1.3,2,1,2,2,3,1,1,1,3,0,0
1251,34,3,6.6,2,0,0,2,3,4,1,1,6,1,2
1252,261,10,104.9,6,2,3,1,2,2,3,3,8,2,3
1253,193,6,51.940000000000005,5,0,2,0,4,2,1,2,5,0,2
1254,255,5,115.0,4,0,3,0,4,2,1,3,6,1,2
1255,460,2,26.799999999999997,1,1,2,2,3,1,1,1,3,0,0
1256,123,12,99.65,5,2,0,1,2,3,3,3,9,2,3
1257,470,4,20.0,3,1,2,2,3,1,1,1,3,0,0
1258,508,6,50.900000000000006,4,1,2,2,3,1,1,2,4,0,0
1259,33,14,220.04000000000002,5,3,1,1,2,4,4,4,12,3,1
1260,452,4,48.74,3,1,2,2,3,1,1,2,4,0,0
1261,223,8,47.05,6,2,2,0,4,2,2,2,6,1,3
1262,526,6,46.6,4,1,2,2,3,1,1,2,4,0,0
1263,437,4,39.8,3,1,2,2,3,1,1,1,3,0,0
1264,23,17,145.0,6,3,1,1,2,4,4,4,12,3,1
1265,88,25,279.99,6,3,1,3,1,3,4,4,11,3,1
1266,490,2,10.8,2,1,2,2,3,1,1,1,3,0,0
1267,594,2,15.000000000000002,1,1,2,2,3,1,1,1,3,0,0
1268,437,9,57.8,6,1,2,0,4,1,2,2,5,0,0
1269,91,14,123.62,7,2,0,1,2,3,4,4,11,3,3
1270,249,6,67.06,4,0,2,0,4,2,1,2,5,0,2
1272,521,2,28.8,2,1,2,2,3,1,1,1,3,0,0
1273,240,4,24.6,4,0,2,2,3,2,1,1,4,0,2
1274,538,7,63.88,5,1,2,2,3,1,2,2,5,0,0
1275,73,24,152.56,7,3,1,3,1,3,4,4,11,3,1
1276,37,13,101.5,6,2,1,1,2,4,3,3,10,2,3
1277,29,15,108.21000000000001,4,2,1,1,2,4,4,3,11,3,3
1278,21,15,95.2,6,2,1,1,2,4,4,3,11,3,3
1279,111,17,112.9,5,2,3,1,2,3,4,3,10,2,3
1280,140,8,47.099999999999994,5,0,0,0,4,3,2,2,7,1,2
1281,211,9,91.9,6,2,3,1,2,2,2,3,7,1,3
1282,42,10,40.7,6,2,0,0,4,4,3,1,8,2,3
1283,47,17,145.2,7,3,1,1,2,4,4,4,12,3,1
1284,485,4,25.6,4,1,2,2,3,1,1,1,3,0,0
1285,162,14,107.4,6,2,3,1,2,2,4,3,9,2,3
1286,140,16,124.45,6,2,3,1,2,3,4,4,11,3,3
1287,124,17,180.92000000000002,5,3,3,1,2,3,4,4,11,3,1
1288,458,7,92.68,4,1,3,0,4,1,2,3,6,1,0
1289,52,11,125.9,6,2,1,1,2,4,3,4,11,3,3
1290,99,13,107.5,6,2,0,1,2,3,3,3,9,2,3
1291,285,12,55.0,5,2,3,0,4,1,3,2,6,1,3
1292,67,4,22.7,4,0,0,0,4,3,1,1,5,0,2
1293,65,11,93.46,6,2,0,1,2,3,3,3,9,2,3
1294,373,12,120.4,7,2,3,1,2,1,3,4,8,2,3
1295,160,8,62.35,4,0,0,0,4,2,2,2,6,1,2
1296,37,17,154.34,6,3,1,1,2,4,4,4,12,3,1
1297,382,9,108.15,4,1,3,0,4,1,2,3,6,1,0
1298,156,7,60.8,5,0,0,0,4,2,2,2,6,1,2
1299,210,8,23.1,5,0,2,0,4,2,2,1,5,0,2
1300,482,2,21.0,2,1,2,2,3,1,1,1,3,0,0
1301,57,7,54.0,6,2,0,0,4,4,2,2,8,2,3
1302,92,10,56.96,5,2,0,0,4,3,3,2,8,2,3
1303,113,14,82.0,7,2,0,1,2,3,4,3,10,2,3
1304,135,7,68.5,4,0,0,0,4,3,2,2,7,1,2
1305,220,12,114.3,5,2,3,1,2,2,3,3,8,2,3
1306,40,9,58.19,4,0,0,0,4,4,2,2,8,2,2
1307,191,12,66.7,5,2,3,0,4,2,3,2,7,1,3
1308,291,8,89.4,5,2,3,0,4,1,2,3,6,1,3
1309,273,11,88.35000000000001,5,2,3,0,4,2,3,3,8,2,3
1310,403,4,12.4,3,1,2,2,3,1,1,1,3,0,0
1311,184,8,79.5,4,0,0,0,4,2,2,3,7,1,2
1312,226,14,197.8,6,3,3,1,2,2,4,4,10,2,1
1313,5,2,17.3,2,0,0,2,3,4,1,1,6,1,2
1314,481,2,2.9000000000000004,2,1,2,2,3,1,1,1,3,0,0
1315,53,6,82.0,3,0,0,0,4,4,1,3,8,2,2
1316,279,6,49.6,4,0,2,2,3,2,1,2,5,0,2
1317,522,6,32.54,3,1,2,2,3,1,1,1,3,0,0
1318,95,5,51.300000000000004,3,0,0,2,3,3,1,2,6,1,2
1319,134,9,63.8,5,2,0,0,4,3,2,2,7,1,3
1320,345,10,90.72,5,2,3,0,4,1,3,3,7,1,3
1321,261,5,14.600000000000001,2,0,2,2,3,2,1,1,4,0,0
1322,72,15,140.64000000000001,8,3,1,3,1,3,4,4,11,3,1
1323,57,8,40.9,4,0,0,0,4,4,2,1,7,1,2
1324,3,14,179.2,5,3,1,1,2,4,4,4,12,3,1
1325,218,9,80.3,5,2,3,0,4,2,2,3,7,1,3
1326,51,11,103.8,6,2,0,1,2,4,3,3,10,2,3
1327,143,18,136.92000000000002,7,3,3,3,1,2,4,4,10,2,1
1328,281,10,88.82,5,2,3,0,4,1,3,3,7,1,3
1329,221,16,146.6,7,3,3,1,2,2,4,4,10,2,1
1330,58,11,118.4,4,2,1,1,2,3,3,4,10,2,3
1331,31,9,61.75,3,0,0,0,4,4,2,2,8,2,2
1332,28,15,64.1,6,2,1,1,2,4,4,2,10,2,3
1333,99,18,145.5,5,3,1,1,2,3,4,4,11,3,1
1334,206,5,27.0,4,0,2,2,3,2,1,1,4,0,2
1335,73,12,94.45,6,2,0,1,2,3,3,3,9,2,3
1336,270,9,192.85000000000002,7,3,3,1,2,2,2,4,8,2,1
1337,5,4,70.5,3,0,1,0,4,4,1,2,7,1,2
1338,506,5,25.1,3,1,2,2,3,1,1,1,3,0,0
1339,32,13,78.5,5,2,1,1,2,4,3,3,10,2,3
1340,42,14,82.7,5,2,1,1,2,4,4,3,11,3,3
1341,61,12,139.4,5,2,1,1,2,3,3,4,10,2,3
1342,314,13,132.05,6,2,3,1,2,1,3,4,8,2,3
1343,59,10,124.22,6,2,1,1,2,3,3,4,10,2,3
1344,117,6,26.5,3,0,0,2,3,3,1,1,5,0,2
1345,162,10,78.36,6,2,0,1,2,2,3,3,8,2,3
1346,236,7,59.699999999999996,3,0,3,0,4,2,2,2,6,1,2
1347,106,14,124.4,6,2,3,1,2,3,4,4,11,3,3
1348,104,6,58.0,4,0,0,0,4,3,1,2,6,1,2
1349,17,11,77.52,5,2,0,0,4,4,3,3,10,2,3
1350,483,6,19.2,4,1,2,2,3,1,1,1,3,0,0
1351,307,6,63.1,4,1,2,0,4,1,1,2,4,0,0
1352,667,2,24.4,2,1,2,2,3,1,1,1,3,0,0
1353,324,21,235.4,8,3,3,3,1,1,4,4,9,2,1
1354,29,13,74.95,6,2,0,1,2,4,3,3,10,2,3
1355,102,13,92.7,5,2,0,1,2,3,3,3,9,2,3
1356,113,10,131.44,6,2,3,1,2,3,3,4,10,2,3
1357,115,6,24.3,3,0,0,2,3,3,1,1,5,0,2
1358,1,12,98.4,6,2,0,1,2,4,3,3,10,2,3
1359,580,4,46.4,4,1,2,2,3,1,1,2,4,0,0
1360,14,16,195.20000000000002,6,3,1,3,1,4,4,4,12,3,1
1361,113,17,100.9,6,2,3,1,2,3,4,3,10,2,3
1362,85,5,62.7,4,0,0,0,4,3,1,2,6,1,2
1363,77,13,96.60000000000001,6,2,0,1,2,3,3,3,9,2,3
1364,152,8,35.4,4,0,0,0,4,2,2,1,5,0,2
1365,58,12,62.5,5,2,0,0,4,3,3,2,8,2,3
1366,31,25,224.1,6,3,1,3,1,4,4,4,12,3,1
1367,147,5,70.9,3,0,0,2,3,2,1,2,5,0,2
1368,168,2,33.9,2,0,0,2,3,2,1,1,4,0,2
1369,394,8,23.6,5,1,2,0,4,1,2,1,4,0,0
1370,178,13,71.9,5,2,3,0,4,2,3,2,7,1,3
1371,233,6,90.3,4,0,3,0,4,2,1,3,6,1,2
1372,188,10,97.3,5,2,3,0,4,2,3,3,8,2,3
1373,164,14,153.4,5,2,3,1,2,2,4,4,10,2,3
1374,147,11,36.8,6,2,3,0,4,2,3,1,6,1,3
1375,80,2,7.2,2,0,0,2,3,3,1,1,5,0,2
1376,183,7,37.58,5,0,2,0,4,2,2,1,5,0,2
1377,291,11,92.9,5,2,3,0,4,1,3,3,7,1,3
1378,79,4,52.5,2,0,0,2,3,3,1,2,6,1,2
1379,170,28,217.85,8,3,3,3,1,2,4,4,10,2,1
1380,39,11,101.1,6,2,0,1,2,4,3,3,10,2,3
1381,282,15,104.75000000000001,5,2,3,1,2,1,4,3,8,2,3
1382,92,6,43.0,4,0,0,0,4,3,1,1,5,0,2
1383,310,6,41.0,3,1,2,2,3,1,1,1,3,0,0
1384,11,15,86.60000000000001,5,2,1,1,2,4,4,3,11,3,3
1385,34,15,164.70000000000002,5,3,1,1,2,4,4,4,12,3,1
1386,152,6,54.800000000000004,3,0,0,2,3,2,1,2,5,0,2
1387,578,6,47.46,4,1,2,2,3,1,1,2,4,0,0
1388,271,7,44.2,6,2,2,0,4,2,2,2,6,1,3
1389,315,8,36.3,3,1,3,2,3,1,2,1,4,0,0
1390,303,12,99.87,6,2,3,0,4,1,3,3,7,1,3
1391,131,13,97.4,5,2,3,1,2,3,3,3,9,2,3
1392,254,6,85.9,4,0,3,0,4,2,1,3,6,1,2
1393,491,7,44.15,4,1,2,2,3,1,2,2,5,0,0
1394,220,4,56.099999999999994,3,0,2,2,3,2,1,2,5,0,2
1395,79,23,174.64000000000001,7,3,1,3,1,3,4,4,11,3,1
1396,161,8,106.52000000000001,4,0,3,0,4,2,2,3,7,1,2
1397,9,2,11.8,1,0,0,2,3,4,1,1,6,1,2
1398,259,8,86.51,4,0,3,0,4,2,2,3,7,1,2
1399,385,9,80.10000000000001,6,2,2,0,4,1,2,3,6,1,3
1400,445,2,7.8,2,1,2,2,3,1,1,1,3,0,0
1401,215,4,13.600000000000001,2,0,2,2,3,2,1,1,4,0,2
1402,442,4,17.8,2,1,2,2,3,1,1,1,3,0,0
1403,228,10,68.4,6,2,2,1,2,2,3,2,7,1,3
1404,241,18,159.5,7,3,3,1,2,2,4,4,10,2,1
1405,305,6,45.2,4,1,2,0,4,1,1,2,4,0,0
1406,2,12,102.2,5,2,1,1,2,4,3,3,10,2,3
1407,154,23,261.55,8,3,3,3,1,2,4,4,10,2,1
1408,160,7,31.900000000000002,4,0,0,0,4,2,2,1,5,0,2
1409,155,6,37.06,4,0,2,0,4,2,1,1,4,0,2
1410,52,27,184.95000000000002,10,3,1,3,1,4,4,4,12,3,1
1411,313,4,70.32000000000001,4,1,3,0,4,1,1,2,4,0,0
1412,44,12,86.27,8,2,0,1,2,4,3,3,10,2,3
1413,381,7,63.8,3,1,3,2,3,1,2,2,5,0,0
1414,220,2,3.4000000000000004,2,0,2,2,3,2,1,1,4,0,2
1415,367,4,10.8,2,1,2,2,3,1,1,1,3,0,0
1416,130,14,137.70000000000002,6,2,3,1,2,3,4,4,11,3,3
